id_bdq,lon_fire,lat_fire,data_pas,bioma,year,month,day,hour,code_muni,name_muni,name_state,lon_muni,lat_muni,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,wind_speed_ms,wind_direction,fire_direction,direction_diff,upwind_30,upwind_35,upwind_40,upwind_45
 14883115 ,-40.82,-4.686,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2305902,ipueiras,ceara,-40.71569651059377,-4.543785495,124.2,0.2,26.7,10.3,0.3,NA,33.7,38,3.3,88,216.16433791535277,128.16433791535277,FALSE,FALSE,FALSE,FALSE
 14883110 ,-42.068,-4.11,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2201945,boqueirao do piaui,piaui,-42.10362713474732,-4.485819631643734,126.8,0.1,23.5,10.8,0.2,NA,35.3,36,1.8,89,5.401576265394681,83.59842373460532,FALSE,FALSE,FALSE,FALSE
 14883106 ,-37.996,-4.406,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2303501,cascavel,ceara,-38.23968594067706,-4.1314336782074506,72.2,0.1,20.2,7.1,0.6,NA,32.3,49,5,72,138.49797749294805,66.49797749294805,FALSE,FALSE,FALSE,FALSE
 14883105 ,-41.314,-3.119,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2201919,bom principio do piaui,piaui,-41.64520957012553,-3.189858687605385,96.6,0.1,19.6,6.9,0.2,NA,34.5,41,4.1,58,77.91559110895099,19.91559110895099,TRUE,TRUE,TRUE,TRUE
 14883105 ,-41.314,-3.119,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2205706,luis correia,piaui,-41.66456723227479,-2.88156653584822,91.5,0.1,19.3,6,0.2,NA,29.7,68,6.7,43,124.15471561203697,81.15471561203697,FALSE,FALSE,FALSE,FALSE
 14883031 ,-36.77,-8.598,2004-01-02T16:18:00Z,Caatinga,2004,1,2,18,2603207,caetes,pernambuco,-36.62480400761237,-8.77559484478882,91.8,0.1,32.5,3.9,0.5,NA,31.3,43,2.8,80,321.0442063212163,118.95579367878372,FALSE,FALSE,FALSE,FALSE
 14883030 ,-36.115,-9.396,2004-01-02T16:18:00Z,Mata Atlântica,2004,1,2,18,2708600,sao miguel dos campos,alagoas,-36.094264274377586,-9.77993457613103,73.3,0.3,27.3,6.7,0.7,NA,31.3,54,4.1,80,356.9499149003737,83.0500850996263,FALSE,FALSE,FALSE,FALSE
 14883206 ,-47.714,-1.754,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1503507,irituia,para,-47.440755612848314,-1.7714749950000002,158.3,0.4,26.1,17.7,0.3,NA,31.7,68,3.9,45,273.6568129624658,131.34318703753422,FALSE,FALSE,FALSE,FALSE
 14883204 ,-46.131,-1.732,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2100550,amapa do maranhao,maranhao,-46.00917990038745,-1.680921495121785,149.5,0.4,26.2,14.8,0.2,NA,29.9,84,4.2,48,247.24109079634258,160.75890920365742,FALSE,FALSE,FALSE,FALSE
 14883203 ,-45.586,-1.86,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2106326,maracacume,maranhao,-45.9586390371679,-2.05616454951514,156.3,0.4,26.1,15.9,0.2,NA,30.4,81,3.8,50,62.229459734114585,12.229459734114585,TRUE,TRUE,TRUE,TRUE
 14883201 ,-47.454,-0.794,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1502905,curuca,para,-47.85126508593515,-0.73249551,152.3,0.3,26.8,19,0.3,NA,29.9,80,4.5,47,98.8040281881872,51.8040281881872,FALSE,FALSE,FALSE,FALSE
 14883131 ,-44.799,-2.76,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2111706,sao vicente ferrer,maranhao,-44.88690457661455,-2.8907310643779454,119.7,0.1,20.7,8.7,0.3,NA,31.8,65,3.9,48,33.887105654973936,14.112894345026064,TRUE,TRUE,TRUE,TRUE
 14883130 ,-45.421,-2.275,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2110039,santa luzia do parua,maranhao,-45.776461561590054,-2.546161474814905,137.3,0.2,24.9,12.1,0.2,NA,30.8,79,3.4,56,52.64516949166341,3.3548305083365904,TRUE,TRUE,TRUE,TRUE
 14883280 ,-46.407,-1.77,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2100550,amapa do maranhao,maranhao,-46.00917990038745,-1.680921495121785,149.5,0.4,26.2,14.8,0.2,NA,29.9,84,4.2,48,257.3672352278925,150.63276477210752,FALSE,FALSE,FALSE,FALSE
 14883222 ,-47.929,-1.055,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1502608,colares,para,-48.28872843194944,-0.932091243957739,150.6,0.3,27.6,19,0.4,NA,29.6,81,4.4,48,108.86950120665676,60.869501206656764,FALSE,FALSE,FALSE,FALSE
 14883225 ,-47.854,-1.149,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1503408,inhangapi,para,-47.913392746588514,-1.42658198091031,170.8,0.6,28.3,21.5,0.5,NA,31,73,4,45,12.07488990684692,32.92511009315308,FALSE,TRUE,TRUE,TRUE
 14883196 ,-47.861,-1.055,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1502905,curuca,para,-47.85126508593515,-0.73249551,152.3,0.3,26.8,19,0.3,NA,29.9,80,4.5,47,181.7286848698897,134.7286848698897,FALSE,FALSE,FALSE,FALSE
 14883196 ,-47.861,-1.055,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1507466,sao joao da ponta,para,-47.92072416564616,-0.851002145269607,157.7,0.4,27.4,19.9,0.4,NA,30,80,4.4,46,163.68425074318645,117.68425074318645,FALSE,FALSE,FALSE,FALSE
 14883191 ,-46.149,-2.329,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2109239,presidente medici,maranhao,-45.82070864755384,-2.3836640465391343,143.8,0.3,25.4,13.4,0.2,NA,30.8,79,3.4,55,279.45471243150564,135.54528756849436,FALSE,FALSE,FALSE,FALSE
 14883189 ,-45.762,-2.079,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2106375,maranhaozinho,maranhao,-45.855611454866754,-2.235616992075995,147.8,0.3,25.6,14.1,0.2,NA,30.7,80,3.6,53,30.851048203029563,22.148951796970437,TRUE,TRUE,TRUE,TRUE
 14883187 ,-44.148,-2.523,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2105104,icatu,maranhao,-44.06584846863997,-2.77482786309925,115.1,0.1,20,8.1,0.4,NA,32.4,54,4.3,47,341.948725465258,65.05127453474199,FALSE,FALSE,FALSE,FALSE
 14883187 ,-44.148,-2.523,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2107100,morros,maranhao,-44.04454454317563,-2.8614789530879046,112,0.1,20,7.4,0.3,NA,32.7,53,4.2,46,343.019548152683,62.980451847317,FALSE,FALSE,FALSE,FALSE
 14883187 ,-44.148,-2.523,2004-01-02T16:20:00Z,Amazônia,2004,1,2,18,2109205,presidente juscelino,maranhao,-44.07677942141845,-2.9282292461492245,117.9,0.2,20.2,8.8,0.5,NA,32.6,54,4.2,46,350.04118988312916,55.958810116870836,FALSE,FALSE,FALSE,FALSE
 14883274 ,-47.568,-0.743,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1507474,sao joao de pirabas,para,-47.17267429792051,-0.7664425315153709,133.6,0.1,25.7,15.7,0.1,NA,28.4,82,5.5,54,273.3913013703262,140.60869862967382,FALSE,FALSE,FALSE,FALSE
 14883273 ,-45.737,-1.271,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2104305,godofredo viana,maranhao,-45.771754808052265,-1.4098001867327798,145.5,0.3,25.4,14,0.2,NA,29.6,85,4.6,49,14.05423292804079,34.94576707195921,FALSE,TRUE,TRUE,TRUE
 14883271 ,-47.856,-1.058,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1507466,sao joao da ponta,para,-47.92072416564616,-0.851002145269607,157.7,0.4,27.4,19.9,0.4,NA,30,80,4.4,46,162.63935394140162,116.63935394140162,FALSE,FALSE,FALSE,FALSE
 14883270 ,-45.598,-1.862,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2104677,governador nunes freire,maranhao,-45.881481132794235,-2.1349623600000003,151.8,0.4,25.7,14.9,0.2,NA,30.5,81,3.8,52,46.0705765755431,5.9294234244569,TRUE,TRUE,TRUE,TRUE
 14883267 ,-45.609,-1.383,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,2112407,turiacu,maranhao,-45.36915241722407,-1.66902204768173,141.5,0.3,25.2,11.9,0.2,NA,29.7,85,4.7,52,320.02478083444555,91.97521916555445,FALSE,FALSE,FALSE,FALSE
 14883234 ,-47.709,-1.757,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1506609,santa maria do para,para,-47.57469541380905,-1.3478664592967,158.9,0.5,27.1,19,0.4,NA,30.8,75,4.1,45,198.16523635139671,153.16523635139671,FALSE,FALSE,FALSE,FALSE
 14883229 ,-47.862,-1.147,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1507003,santo antonio do taua,para,-48.13243307484572,-1.1516924999999998,158.3,0.4,28.7,20.4,0.5,NA,30.4,79,4.1,45,89.00842907942013,44.008429079420125,FALSE,FALSE,FALSE,TRUE
 14883229 ,-47.862,-1.147,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1507409,sao francisco do para,para,-47.79051461070509,-1.170188784676975,162.3,0.5,28,20.5,0.5,NA,30.3,79,4.2,45,287.97499647707605,117.02500352292395,FALSE,FALSE,FALSE,FALSE
 14883229 ,-47.862,-1.147,2004-01-02T16:21:00Z,Amazônia,2004,1,2,18,1508209,vigia,para,-48.14149858520692,-0.855532573667763,154,0.4,27.5,19.3,0.4,NA,29.8,81,4.4,47,136.20760868486536,89.20760868486536,FALSE,FALSE,FALSE,FALSE
 14883140 ,-42.337,-3.762,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2110104,santa quiteria do maranhao,maranhao,-42.56287300973521,-3.4984849951150903,109.1,0.1,19.7,7.3,0.1,NA,34.6,40,3.2,55,139.46227356101258,84.46227356101258,FALSE,FALSE,FALSE,FALSE
 14883140 ,-42.337,-3.762,2004-01-02T16:20:00Z,Caatinga,2004,1,2,18,2202174,campo largo do piaui,piaui,-42.62604104166089,-3.8078689391975993,115.7,0.1,20.2,8.6,0.2,NA,35.1,38,2.5,63,80.97289856045995,17.972898560459953,TRUE,TRUE,TRUE,TRUE
 14895818 ,-51.052,-15.048,2004-01-03T17:00:00Z,Cerrado,2004,1,3,18,5202155,araguapaz,goias,-50.63474241171356,-15.088530370369897,192.1,0.2,5,8.5,0,NA,24.7,94,2.6,9,275.6900179387227,93.30998206127731,FALSE,FALSE,FALSE,FALSE
 14895817 ,-48.995,-15.426,2004-01-03T17:00:00Z,Cerrado,2004,1,3,18,5208608,goianesia,goias,-49.115810150774536,-15.322288752488296,166.5,0.1,7.9,8.3,0.1,NA,24.7,81,2.1,323,131.69546635574517,168.69546635574517,FALSE,FALSE,FALSE,FALSE
 14895817 ,-48.995,-15.426,2004-01-03T17:00:00Z,Cerrado,2004,1,3,18,5217302,pirenopolis,goias,-48.962527192617856,-15.853342297545348,169.1,0.1,8.3,8.6,0.2,NA,24.7,77,1.7,328,355.8104849000419,27.8104849000419,TRUE,TRUE,TRUE,TRUE
 14895814 ,-48.553,-20.357,2004-01-03T16:59:00Z,Cerrado,2004,1,3,18,3524204,jaborandi,sao paulo,-48.41344492062857,-20.68722449937575,157.2,0.3,16.5,6.3,0.2,NA,26.9,73,1.4,168,338.3824969651306,170.3824969651306,FALSE,FALSE,FALSE,FALSE
 14895781 ,-51.833,-27.303,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4209003,joacaba,santa catarina,-51.50668973333774,-27.1739445292328,57.7,0.1,22.5,0,0.3,NA,25.5,43,2.2,76,245.9446254751171,169.9446254751171,FALSE,FALSE,FALSE,FALSE
 14895781 ,-51.833,-27.303,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4217501,seara,santa catarina,-52.3028548279905,-27.1456976228746,60.8,0.1,23.5,0,0.3,NA,26.8,46,1.5,90,110.73856133800882,20.73856133800882,TRUE,TRUE,TRUE,TRUE
 14895775 ,-52.907,-24.929,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4100459,altamira do parana,parana,-52.70980744669154,-24.80100016349565,93.2,0.1,21.9,0,0.2,NA,26.4,48,2,112,234.37748521373896,122.37748521373896,FALSE,FALSE,FALSE,FALSE
 14895775 ,-52.907,-24.929,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4128005,ubirata,parana,-52.99450601584554,-24.541034884992143,97.2,0.1,21.6,0,0.2,NA,27.3,47,2.2,107,168.4409923361584,61.44099233615839,FALSE,FALSE,FALSE,FALSE
 14895766 ,-53.093,-25.405,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4103057,boa vista da aparecida,parana,-53.41173648903694,-25.4304049443238,88.7,0.1,24.3,0,0.2,NA,27.5,48,1.6,109,85.02528493389786,23.974715066102135,TRUE,TRUE,TRUE,TRUE
 14895766 ,-53.093,-25.405,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4104055,campo bonito,parana,-52.996869603650225,-25.039634482789666,90.4,0.1,23,0,0.2,NA,26.7,47,1.8,111,193.3681290217924,82.36812902179241,FALSE,FALSE,FALSE,FALSE
 14895766 ,-53.093,-25.405,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4127858,tres barras do parana,parana,-53.18749880054594,-25.419408319478265,87.3,0.1,24.3,0,0.2,NA,27.1,49,1.6,111,80.43886302854207,30.561136971457927,FALSE,TRUE,TRUE,TRUE
 14895759 ,-51.166,-27.718,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4219150,vargem,santa catarina,-50.97815062565487,-27.4899701004296,53.7,0.1,21.7,0,0.3,NA,24.7,44,2.5,69,216.086770184029,147.086770184029,FALSE,FALSE,FALSE,FALSE
 14895759 ,-51.166,-27.718,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4219853,zortea,santa catarina,-51.54956630684079,-27.450251411681847,58.8,0.1,22.3,0,0.3,NA,25.7,45,2.2,74,128.31166029184487,54.31166029184487,FALSE,FALSE,FALSE,FALSE
 14895759 ,-51.166,-27.718,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4301800,barracao,rio grande do sul,-51.46015145837845,-27.68022987138974,59.7,0.1,22.3,0,0.3,NA,25.7,45,2.1,73,98.32003732509503,25.32003732509503,TRUE,TRUE,TRUE,TRUE
 14895757 ,-51.94,-27.177,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4207809,irani,santa catarina,-51.904107924029404,-27.016186689115944,60,0.1,22.9,0,0.3,NA,26.2,42,1.9,83,191.22976562569715,108.22976562569715,FALSE,FALSE,FALSE,FALSE
 14895721 ,-51.839,-27.302,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4200408,agua doce,santa catarina,-51.55909655529459,-27.004091658860098,58,0.1,22.6,0,0.4,NA,25.4,42,2.2,77,219.83230537343553,142.83230537343553,FALSE,FALSE,FALSE,FALSE
 14895721 ,-51.839,-27.302,2004-01-03T16:57:00Z,Mata Atlântica,2004,1,3,18,4201273,arabuta,santa catarina,-52.14859926069822,-27.157403695942843,60.5,0.1,23.3,0,0.3,NA,26.6,45,1.6,87,117.78156890199222,30.781568901992216,FALSE,TRUE,TRUE,TRUE
